CustomerKey,FirstPurchase,LastPurchase,TotalOrders,CustomerStatus
301,2019-11-11,2019-11-11,1,Inactive
325,2018-01-13,2020-01-04,3,Inactive
554,2018-01-04,2019-12-05,2,Inactive
1042,2018-03-06,2018-03-06,1,Inactive
1314,2017-12-19,2017-12-19,1,Inactive
1568,2019-12-31,2021-02-10,4,Inactive
1585,2018-02-26,2019-02-28,2,Inactive
1626,2018-12-13,2020-02-22,2,Inactive
1642,2019-05-21,2019-05-21,1,Inactive
1863,2020-03-11,2020-08-08,2,Inactive
2238,2018-05-25,2020-03-06,2,Inactive
2248,2019-01-13,2019-01-13,1,Inactive
2435,2016-10-11,2018-02-02,2,Inactive
2469,2019-11-07,2019-11-07,1,Inactive
2512,2019-03-06,2020-02-29,2,Inactive
2792,2019-05-06,2019-05-06,1,Inactive
3002,2016-02-26,2016-02-26,1,Inactive
3203,2018-01-24,2018-12-15,2,Inactive
3327,2018-08-11,2018-08-11,1,Inactive
3575,2016-02-26,2016-02-26,1,Inactive
3964,2017-02-08,2017-02-08,1,Inactive
4174,2019-01-01,2020-11-25,2,Inactive
5097,2016-01-05,2016-01-05,1,Inactive
5445,2017-11-02,2017-11-02,1,Inactive
5962,2016-05-12,2018-06-22,2,Inactive
6258,2020-12-24,2020-12-24,1,Inactive
6308,2019-07-05,2019-07-05,1,Inactive
7109,2018-05-17,2018-05-17,1,Inactive
7566,2019-08-31,2019-08-31,1,Inactive
7700,2018-08-31,2018-08-31,1,Inactive
7783,2019-09-13,2019-09-13,1,Inactive
8098,2019-08-21,2019-08-21,1,Inactive
8181,2020-02-19,2020-02-19,1,Inactive
8789,2018-09-06,2018-09-06,1,Inactive
8945,2019-12-19,2019-12-19,1,Inactive
9167,2019-10-01,2019-10-01,1,Inactive
9184,2017-10-26,2018-07-04,2,Inactive
9456,2020-06-03,2020-07-18,2,Inactive
9812,2016-08-18,2021-01-21,3,Inactive
9915,2017-09-06,2017-09-06,1,Inactive
10039,2019-11-12,2019-11-12,1,Inactive
10299,2017-01-28,2017-01-28,1,Inactive
10393,2020-07-20,2020-07-20,1,Inactive
11035,2020-02-15,2020-02-15,1,Inactive
12160,2016-03-03,2018-06-13,2,Inactive
12365,2020-03-14,2020-03-14,1,Inactive
12392,2018-12-29,2018-12-29,1,Inactive
12649,2020-02-20,2020-02-20,1,Inactive
12729,2016-12-24,2019-08-21,4,Inactive
12859,2019-12-28,2019-12-28,1,Inactive
13045,2016-12-07,2018-07-07,2,Inactive
13071,2020-11-14,2020-11-14,1,Inactive
13365,2021-02-19,2021-02-19,1,Inactive
14069,2018-12-19,2018-12-19,1,Inactive
14180,2016-01-19,2016-01-19,1,Inactive
14906,2017-09-07,2017-09-07,1,Inactive
14962,2017-12-09,2019-11-01,2,Inactive
14988,2019-03-01,2019-03-01,1,Inactive
15391,2018-01-05,2018-01-05,1,Inactive
15718,2020-01-13,2020-01-13,1,Inactive
16716,2019-07-15,2019-07-15,1,Inactive
17412,2018-05-15,2018-09-28,3,Inactive
17811,2018-12-20,2018-12-20,1,Inactive
18309,2018-06-13,2018-06-13,1,Inactive
18470,2017-11-14,2021-02-02,3,Inactive
18493,2016-06-14,2016-06-14,1,Inactive
18887,2017-08-12,2017-08-12,1,Inactive
19082,2019-08-08,2020-08-22,3,Inactive
19207,2016-10-13,2019-05-28,2,Inactive
19404,2020-02-17,2020-02-17,1,Inactive
19534,2018-08-09,2018-08-09,1,Inactive
19726,2020-03-06,2020-03-06,1,Inactive
19753,2018-08-15,2018-12-19,2,Inactive
20069,2019-01-09,2019-12-19,4,Inactive
20092,2018-12-11,2019-09-16,2,Inactive
20237,2019-12-31,2019-12-31,1,Inactive
20623,2018-06-06,2019-12-31,3,Inactive
20946,2018-11-09,2018-11-09,1,Inactive
21203,2016-11-19,2016-11-19,1,Inactive
21424,2019-12-28,2020-08-06,2,Inactive
21460,2020-12-26,2020-12-26,1,Inactive
21523,2017-02-23,2017-02-23,1,Inactive
21575,2016-06-14,2016-06-14,1,Inactive
21819,2016-09-29,2019-02-26,2,Inactive
22540,2019-09-28,2019-12-26,2,Inactive
23203,2018-05-25,2019-12-19,3,Inactive
23267,2017-10-26,2017-10-26,1,Inactive
23320,2019-08-26,2019-08-26,1,Inactive
23599,2019-02-09,2019-02-09,1,Inactive
25771,2017-02-15,2018-01-06,3,Inactive
25864,2018-08-27,2019-09-14,3,Inactive
26477,2017-10-11,2017-10-11,1,Inactive
26642,2016-04-30,2016-04-30,1,Inactive
26728,2019-09-29,2019-09-29,1,Inactive
27356,2018-06-07,2018-07-23,2,Inactive
27492,2018-01-09,2019-12-18,3,Inactive
27616,2017-08-31,2019-03-09,2,Inactive
27945,2017-08-25,2017-08-25,1,Inactive
28690,2019-09-02,2020-06-27,2,Inactive
29041,2017-11-25,2017-11-25,1,Inactive
29278,2018-12-26,2018-12-26,1,Inactive
29475,2019-11-23,2019-11-23,1,Inactive
29555,2017-07-25,2021-01-20,3,Inactive
29647,2018-11-16,2018-11-16,1,Inactive
29689,2019-11-09,2020-01-01,2,Inactive
29812,2018-07-10,2018-07-10,1,Inactive
29973,2019-11-09,2020-06-25,2,Inactive
30090,2019-07-04,2019-11-09,2,Inactive
31086,2019-07-17,2019-07-17,1,Inactive
31164,2017-05-12,2017-05-12,1,Inactive
31236,2017-02-11,2017-02-11,1,Inactive
31784,2019-09-24,2019-09-24,1,Inactive
32037,2018-09-01,2018-10-28,2,Inactive
32455,2017-09-30,2017-09-30,1,Inactive
32488,2019-12-23,2019-12-23,1,Inactive
32511,2019-07-17,2019-07-17,1,Inactive
32538,2020-05-09,2020-05-09,1,Inactive
33036,2018-08-25,2018-09-06,2,Inactive
33205,2018-12-21,2020-02-10,4,Inactive
33444,2018-12-29,2019-11-02,3,Inactive
34081,2017-02-10,2018-12-26,4,Inactive
34143,2020-02-03,2020-02-03,1,Inactive
34431,2018-07-21,2018-07-21,1,Inactive
34850,2016-02-25,2017-08-19,2,Inactive
34915,2019-07-06,2019-07-06,1,Inactive
35257,2016-06-14,2019-07-15,2,Inactive
35703,2018-11-14,2018-11-14,1,Inactive
35733,2019-12-20,2020-06-30,3,Inactive
35795,2019-02-16,2019-02-16,1,Inactive
36112,2018-07-05,2019-11-05,2,Inactive
36336,2018-09-01,2018-09-01,1,Inactive
36418,2021-02-08,2021-02-08,1,Inactive
36507,2018-07-21,2019-12-28,2,Inactive
37070,2017-12-27,2019-11-07,3,Inactive
37251,2018-01-23,2018-01-23,1,Inactive
37408,2018-12-01,2018-12-01,1,Inactive
37580,2019-09-21,2019-09-21,1,Inactive
37585,2021-02-16,2021-02-16,1,Inactive
37802,2017-01-07,2019-01-22,3,Inactive
37991,2017-11-15,2019-11-13,2,Inactive
38006,2018-09-10,2018-09-10,1,Inactive
38036,2018-05-31,2018-05-31,1,Inactive
38195,2018-02-22,2020-02-15,3,Inactive
38212,2019-11-29,2019-11-29,1,Inactive
38613,2016-02-19,2019-03-07,3,Inactive
39246,2016-06-16,2016-06-16,1,Inactive
39268,2018-11-29,2018-11-29,1,Inactive
39314,2018-11-05,2018-11-05,1,Inactive
39582,2017-12-21,2018-11-24,2,Inactive
39592,2018-06-15,2018-06-15,1,Inactive
39894,2016-02-09,2016-02-09,1,Inactive
39927,2018-11-17,2018-11-17,1,Inactive
40363,2018-11-17,2018-11-17,1,Inactive
40443,2019-10-29,2019-10-29,1,Inactive
40649,2017-12-20,2019-08-07,2,Inactive
40669,2019-02-09,2019-02-09,1,Inactive
41281,2019-02-13,2019-09-24,2,Inactive
41570,2020-03-07,2020-03-07,1,Inactive
42177,2018-02-20,2018-02-20,1,Inactive
42364,2017-05-18,2018-10-09,2,Inactive
42408,2019-09-23,2019-09-23,1,Inactive
42840,2019-05-03,2019-05-03,1,Inactive
42956,2019-05-21,2019-10-30,2,Inactive
43784,2020-01-27,2020-01-27,1,Inactive
43840,2016-12-17,2020-01-03,3,Inactive
44493,2019-01-05,2020-06-27,2,Inactive
44728,2016-04-27,2019-12-18,3,Inactive
45172,2019-05-28,2019-05-28,1,Inactive
45250,2019-08-03,2019-08-03,1,Inactive
45436,2017-05-25,2019-10-18,3,Inactive
45781,2018-06-21,2018-06-21,1,Inactive
45814,2021-02-10,2021-02-10,1,Inactive
46155,2020-12-31,2020-12-31,1,Inactive
46917,2016-11-15,2016-11-15,1,Inactive
46996,2016-09-23,2016-09-23,1,Inactive
47518,2018-05-31,2018-05-31,1,Inactive
48383,2021-01-13,2021-01-13,1,Inactive
48466,2018-12-12,2019-07-05,3,Inactive
48733,2018-09-01,2018-09-01,1,Inactive
49400,2019-11-15,2020-02-20,2,Inactive
49606,2016-08-30,2016-08-30,1,Inactive
49776,2018-10-11,2019-09-16,2,Inactive
49950,2019-08-21,2019-08-21,1,Inactive
50075,2016-06-22,2016-06-22,1,Inactive
50681,2016-06-25,2016-06-25,1,Inactive
50741,2017-08-12,2017-08-12,1,Inactive
51172,2018-09-04,2019-11-07,2,Inactive
51314,2019-02-20,2019-02-21,2,Inactive
51718,2019-09-05,2019-09-05,1,Inactive
52536,2018-11-09,2018-11-09,1,Inactive
52694,2018-08-08,2018-08-08,1,Inactive
53318,2017-02-22,2017-02-22,1,Inactive
53920,2016-05-14,2018-01-06,2,Inactive
54089,2016-11-23,2017-01-12,2,Inactive
54161,2019-06-11,2019-06-11,1,Inactive
54752,2019-07-24,2019-07-24,1,Inactive
54987,2018-10-23,2018-10-23,1,Inactive
55039,2018-08-16,2019-06-05,2,Inactive
55066,2019-10-10,2019-10-10,1,Inactive
55084,2018-11-01,2018-11-01,1,Inactive
55411,2018-08-13,2018-10-06,2,Inactive
55914,2019-01-14,2019-10-11,2,Inactive
56791,2018-11-03,2018-11-03,1,Inactive
56834,2020-05-13,2020-05-13,1,Inactive
56999,2019-02-01,2019-02-01,1,Inactive
57307,2019-11-29,2019-11-29,1,Inactive
57374,2019-05-21,2019-05-21,1,Inactive
58066,2016-05-19,2018-06-25,2,Inactive
58710,2017-01-12,2019-05-05,2,Inactive
58919,2016-12-17,2016-12-17,1,Inactive
59159,2017-12-12,2021-02-20,2,Inactive
59304,2017-01-02,2017-01-02,1,Inactive
59422,2017-08-15,2019-08-19,2,Inactive
59529,2018-04-28,2018-04-28,1,Inactive
59842,2020-10-21,2020-10-21,1,Inactive
59961,2019-09-03,2019-09-03,1,Inactive
60150,2017-02-04,2017-02-04,1,Inactive
60407,2018-05-08,2018-05-08,1,Inactive
60411,2019-01-16,2019-02-04,2,Inactive
60454,2018-02-22,2018-02-22,1,Inactive
60722,2019-07-29,2019-07-29,1,Inactive
60892,2020-08-27,2020-08-27,1,Inactive
61718,2017-07-15,2020-12-30,2,Inactive
61773,2019-09-14,2020-06-04,3,Inactive
61881,2018-10-06,2021-01-02,2,Inactive
61947,2018-07-14,2019-10-12,2,Inactive
62017,2020-09-02,2020-09-02,1,Inactive
62076,2019-12-25,2019-12-25,1,Inactive
62125,2018-01-19,2018-01-19,1,Inactive
62163,2017-06-28,2019-02-15,3,Inactive
62416,2018-06-30,2019-08-20,2,Inactive
62590,2021-01-12,2021-01-12,1,Inactive
63342,2020-01-29,2020-01-29,1,Inactive
63681,2019-02-14,2019-02-14,1,Inactive
64037,2019-07-04,2019-07-04,1,Inactive
64511,2018-05-13,2018-10-23,2,Inactive
64764,2016-09-25,2019-11-08,2,Inactive
64842,2019-11-17,2019-11-17,1,Inactive
65163,2016-02-13,2019-10-26,2,Inactive
65180,2019-06-08,2019-06-08,1,Inactive
65269,2018-05-02,2020-01-04,4,Inactive
65283,2017-05-10,2019-03-06,2,Inactive
65372,2018-12-14,2020-12-29,3,Inactive
65507,2019-10-05,2019-10-05,1,Inactive
66352,2019-07-29,2019-07-29,1,Inactive
67066,2019-09-21,2020-01-29,2,Inactive
67157,2017-09-06,2020-03-06,2,Inactive
67217,2018-12-01,2020-01-01,2,Inactive
67369,2020-01-10,2020-01-10,1,Inactive
67455,2019-05-15,2019-05-15,1,Inactive
67744,2019-05-14,2019-05-14,1,Inactive
68082,2018-02-23,2018-02-23,1,Inactive
68537,2017-09-02,2017-09-02,1,Inactive
68882,2018-01-09,2018-01-09,1,Inactive
69066,2019-12-17,2019-12-17,1,Inactive
69557,2019-03-02,2019-03-02,1,Inactive
69645,2017-07-10,2017-07-10,1,Inactive
69707,2018-06-02,2019-07-10,2,Inactive
69754,2021-01-29,2021-01-29,1,Inactive
69812,2019-07-25,2019-07-25,1,Inactive
69959,2019-02-21,2021-01-22,3,Inactive
70453,2018-03-12,2019-02-27,2,Inactive
70544,2017-06-23,2017-06-23,1,Inactive
70584,2019-11-30,2019-11-30,1,Inactive
70598,2020-10-05,2020-10-05,1,Inactive
70912,2016-02-19,2020-07-08,3,Inactive
71218,2017-07-28,2017-10-10,2,Inactive
71220,2019-03-15,2019-03-15,1,Inactive
71282,2019-10-11,2019-10-11,1,Inactive
71333,2018-11-05,2018-11-28,2,Inactive
71343,2018-10-21,2018-10-21,1,Inactive
