Category,ProductName,Total_Quantity_Sold,Total_Sales
Fans,"Litware 16"" White Oscillating Stand Fan E701 White",1,29.09
Lamps,Adventure Works Chandelier M8150 Black,1,268.5
Lamps,Adventure Works Chandelier M8150 Silver,1,268.5
Lamps,Adventure Works Desk Lamp E1300 Black,1,79.95
Lamps,Proseware Chandelier M0815 Black,1,268.5
Lamps,Proseware Floor Lamp X0115 Blue,1,635.99
Lamps,Proseware Wall Lamp E0215 Blue,1,119.99
Lamps,WWI Floor Lamp M215 Grey,1,339.0
Lamps,WWI Floor Lamp X115 Blue,1,635.99
Lamps,WWI Wall Lamp E315 White,1,101.99
Air Conditioners,Contoso Air conditioner 25000BTU L1672 Blue,2,1271.98
Air Conditioners,Proseware Air conditioner 12000BTU M640 Red,2,919.98
Fans,Litware 18'' Oscillating Pedestal Fan M145 Blue,2,800.0
Fans,Litware 80mm LED Dual PCI Slot Fan E1501 Blue,2,61.98
Home Theater System,Contoso Home Theater System 4.1 Channel M1400 White,2,818.0
Home Theater System,Contoso Home Theater System 5.1 Channel M1530 Black,2,798.0
Home Theater System,Litware Home Theater System 5.1 Channel M511 Black,2,1398.0
Home Theater System,Litware Home Theater System 7.1 Channel M710 Brown,2,1598.0
Lamps,Adventure Works Chandelier M8150 White,2,537.0
Lamps,Adventure Works Floor Lamp X1150 Blue,2,1271.98
Lamps,Litware Wall Lamp E2015 Grey,2,239.98
Lamps,Litware Wall Lamp E3015 Silver,2,203.98
Lamps,Proseware Chandelier M0615 Silver,2,459.98
Lamps,Proseware Desk Lamp E0120 Blue,2,59.98
Lamps,Proseware Desk Lamp E0130 Blue,2,159.9
Lamps,WWI Chandelier M615 Black,2,459.98
Lamps,WWI Chandelier M615 White,2,459.98
Lamps,WWI Chandelier M815 Black,2,537.0
Air Conditioners,Contoso Air conditioner 6000BTU E0180 Grey,3,599.97
Air Conditioners,Proseware Air conditioner 25000BTU L167 Red,3,1907.97
Air Conditioners,Proseware Air conditioner 8000BTU M320 Red,3,1199.97
Fans,Litware 120mm Blue LED Case Fan E901 Black,3,29.97
Fans,Litware 80mm LED Dual PCI Slot Fan E1501 Yellow,3,92.97
Home Theater System,Contoso Home Theater System 2.1 Channel E1200 Black,3,897.0
Home Theater System,Contoso Home Theater System 2.1 Channel E1220 White,3,597.0
Home Theater System,Contoso Home Theater System 5.1 Channel M1520 Black,3,1017.0
Home Theater System,Litware Home Theater System 2.1 Channel E211 Brown,3,809.6999999999999
Home Theater System,Litware Home Theater System 2.1 Channel E212 Black,3,899.6999999999999
Home Theater System,Litware Home Theater System 5.1 Channel M514 Silver,3,1797.0
Lamps,Adventure Works Chandelier M6150 White,3,689.97
Lamps,Litware Chandelier M6015 White,3,689.97
Lamps,Litware Chandelier M8015 Grey,3,805.5
Lamps,Litware Desk Lamp E1020 White,3,89.97
Lamps,Litware Floor Lamp X1015 Black,3,1907.97
Lamps,Litware Wall Lamp E3015 Blue,3,305.96999999999997
Lamps,Proseware Chandelier M0615 Grey,3,689.97
Lamps,Proseware Desk Lamp E0130 Grey,3,239.85000000000002
Lamps,Proseware Floor Lamp X0115 Grey,3,1907.97
Lamps,WWI Desk Lamp E120 Black,3,89.97
Lamps,WWI Desk Lamp E120 Silver,3,89.97
Air Conditioners,Proseware Air conditioner 5200BTU E100 Silver,4,439.96
Computers Accessories,Contoso Wireless Notebook Optical Mouse M35 Orange,4,119.8
Digital SLR Cameras,"Contoso SLR Camera 35"" M358 Blue",4,1432.0
Fans,Litware 180 CFM Vertical Discharge Fan X450 White,4,862.48
Fans,Litware 80mm Dual Ball Bearing Case Fan E1001 Green,4,19.96
Home Theater System,Litware Home Theater System 2.1 Channel E212 Silver,4,1199.6
Home Theater System,Litware Home Theater System 4.1 Channel M410 Brown,4,2396.0
Home Theater System,Litware Home Theater System 5.1 Channel M513 Brown,4,2756.0
Home Theater System,Litware Home Theater System 5.1 Channel M514 Black,4,2396.0
Lamps,Adventure Works Chandelier M6150 Grey,4,919.96
Lamps,Adventure Works Floor Lamp M2150 White,4,1356.0
Lamps,Adventure Works Wall Lamp E2150 Black,4,479.96
Lamps,Litware Desk Lamp E1030 White,4,319.8
Lamps,Litware Wall Lamp E3015 Black,4,407.96
Lamps,Litware Wall Lamp E3015 Grey,4,407.96
Lamps,Litware Wall Lamp E3015 White,4,407.96
Lamps,WWI Wall Lamp E315 Black,4,407.96
Lamps,WWI Wall Lamp E315 Grey,4,407.96
Washers & Dryers,Contoso Washer & Dryer 24in M240 White,4,7272.0
Air Conditioners,Proseware Air conditioner 8000BTU M320 Silver,5,1999.95
Computers Accessories,Contoso ADSL Modem Splitter/Filter X 3 E300 Black,5,264.5
Computers Accessories,Contoso Home/Office Laptop Power Adapter E300 Grey,5,127.5
Computers Accessories,Contoso Smart Battery M901 Blue,5,57.5
Fans,Litware 17'' Oscillating Pedestal Fan M125 White,5,1050.0
Fans,Litware 3-Speed Oscillating High-Performance Fan E201 Black,5,149.95
Home Theater System,Contoso Home Theater System 4.1 Channel M1400 Silver,5,2045.0
Home Theater System,Contoso Home Theater System 7.1 Channel M1700 Brown,5,4445.0
Home Theater System,Litware Home Theater System 4.1 Channel M412 Black,5,2845.0
Home Theater System,Litware Home Theater System 5.1 Channel M510 Black,5,3195.0
Lamps,Litware Floor Lamp X1015 White,5,3179.95
Lamps,Proseware Desk Lamp E0120 Silver,5,149.95
Lamps,Proseware Desk Lamp E0130 Black,5,399.75
Lamps,WWI Chandelier M615 Grey,5,1149.95
Lamps,WWI Desk Lamp E120 Blue,5,149.95
Lamps,WWI Desk Lamp E130 Grey,5,399.75
Lamps,WWI Wall Lamp E215 White,5,599.9499999999999
Washers & Dryers,NT Washer & Dryer 21in E2100 Silver,5,7999.500000000001
Air Conditioners,Contoso Air conditioner 12000BTU M0640 Silver,6,2759.9399999999996
Air Conditioners,Proseware Air conditioner 12000BTU M640 Grey,6,2759.9399999999996
Air Conditioners,Proseware Air conditioner 7000BTU E260 Silver,6,1799.94
Computers Accessories,Contoso Lens cap E80 Grey,6,179.7
Computers Accessories,SV 4GB Laptop Memory M65 Black,6,474.0
Computers Accessories,SV 4GB Laptop Memory M65 Blue,6,474.0
Home Theater System,Contoso Home Theater System 2.1 Channel E1200 Brown,6,1794.0
Home Theater System,Litware Home Theater System 4.1 Channel M413 Silver,6,3294.0
Lamps,Litware Floor Lamp M2015 White,6,2034.0
Lamps,Litware Wall Lamp E2015 Blue,6,719.9399999999999
Lamps,Proseware Wall Lamp E0215 Grey,6,719.9399999999999
Lamps,Proseware Wall Lamp E0215 Silver,6,719.9399999999999
Lamps,WWI Chandelier M815 Grey,6,1611.0
Lamps,WWI Chandelier M815 Silver,6,1611.0
Lamps,WWI Desk Lamp E130 Silver,6,479.70000000000005
Lamps,WWI Floor Lamp M215 White,6,2034.0
Washers & Dryers,Litware Washer & Dryer 24in M260 White,6,10908.0
Washers & Dryers,NT Washer & Dryer 24in M2400 Silver,6,10913.400000000001
Washers & Dryers,NT Washer & Dryer 24in M2400 White,6,10913.400000000001
Air Conditioners,Contoso Air conditioner 8000BTU M0320 Silver,7,2799.9300000000003
Computers Accessories,Contoso Desktop Alternative Bundle E200 Black,7,80.5
Computers Accessories,Contoso Desktop Alternative Bundle E200 Grey,7,80.5
Computers Accessories,Contoso Leather Case - case for digital photo camera X20 Black,7,279.29999999999995
Computers Accessories,Contoso Smart Battery M901 White,7,80.5
Computers Accessories,SV Keyboard E90 Grey,7,292.10999999999996
Home Theater System,Contoso Home Theater System 2.1 Channel E1220 Brown,7,1393.0
Home Theater System,Contoso Home Theater System 2.1 Channel E1220 Silver,7,1393.0
Home Theater System,Contoso Home Theater System 4.1 Channel M1400 Brown,7,2863.0
