CustomerKey,Purchase_Frequency,Average_Order_Value,Preferred_Products
301,1,863.5504000000001,WWI 4GB Video Recording Pen X200 Black
325,3,7686.9152269999995,"WWI Desktop PC3.0 M0300 Silver,Proseware Desk Jet All-in-One Printer, Scanner, Copier M350 Black,Contoso SLR Camera X143 Grey,Adventure Works Desktop PC1.60 ED160 Silver,NT Bluetooth Active Headphones E202 White,Proseware Duplex Scanner M200 White,Proseware Ink Jet Wireless All-In-One Printer M400 Green,SV Hand Games for students E40 Red,MGS Dungeon Siege: Legends of Aranna 2009 E146,A. Datum SLR Camera X141 Blue"
554,2,1326.770308,"SV 16xDVD M300 Black,Contoso Mini Battery Charger Kit E320 Black,Contoso DVD 38 DVD Storage Binder E25 Silver,Contoso 16GB Mp5 Player M1600 Blue"
1042,1,1435.722633,"NT Wireless Bluetooth Stereo Headphones E102 Blue,Adventure Works Desktop PC2.33 XD233 Silver,Contoso Phone System Accessory Handset with Charger M308 Grey"
1314,1,3309.691566,"Adventure Works 40"" LCD HDTV M690 White,Contoso Microwave 0.9CuFt E0090 Black,WWI Screen 106in M1609 Silver,WWI Wall Lamp E315 Blue,NT Wireless Bluetooth Stereo Headphones M402 Green"
1568,4,7142.148996000001,"WWI Wireless Transmitter and Bluetooth Headphones X250 Red,Adventure Works Desktop PC1.80 ED180 Silver,MGS MechCommander 2 E123,Adventure Works Desktop PC1.60 ED160 Silver,Adventure Works Desktop PC1.80 ED180 Black,Contoso Centrex Phone System L10 Grey,SV Hand Games for kids E30 Yellow,SV DVD 58 DVD Storage Binder M55 Red,Contoso SLR Camera 35"" X358 Black"
1585,2,9147.445165000001,"Adventure Works Desktop PC1.60 ED160 Black,Contoso Sharp Touch Screen Phones M910 Black,SV DVD Player M100 Black,A. Datum SLR Camera X135 Black"
1626,2,4111.900755,"MGS King& Myths: The Age Collection M340,The Phone Company Touch Screen Phones 4-Wire/On-wall M302 Black,Fabrikam Social Videographer 1'' 25mm E400 White,Proseware Ink Jet All in one M300 Grey"
1642,1,168.57693,Contoso DVD Player M110 Silver
1863,2,3058.3867299999997,"NT Wireless Bluetooth Stereo Headphones E102 Silver,Contoso DVD 58 DVD Storage Binder M55 Black,MGS Hand Games for 12-16 boys E600 Silver,Proseware Color Ink Jet Fax with 5.8 GHz Cordless Handset X250 White,Litware Microwave 2.2CuFt M125 White,Contoso Phone Tough Skin Case E140 Pink,SV Hand Games for Office worker L28 Yellow,Adventure Works 40"" LCD HDTV M690 Black"
2238,2,869.333106,"Contoso DVD 38 DVD Storage Binder E25 Red,WWI Wireless Transmitter and Bluetooth Headphones X250 Red,NT Wireless Transmitter and Bluetooth Headphones M150 Silver"
2248,1,1204.5782239999999,"Fabrikam Microwave 0.8CuFt E0800 Blue,NT Wireless Transmitter and Bluetooth Headphones M150 Black"
